org.joda.time.chrono.AssembledChronology:476	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:478	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:485	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:486	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:488	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:489	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:491	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:492	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:494	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:495	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:497	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:498	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:500	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:501	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:503	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:504	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:506	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:507	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:509	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:510	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:512	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:513	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:515	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:516	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:518	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:519	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:521	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:522	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:524	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:525	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:527	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:528	3.0 1647.0 0.04264014327112209
