com.google.javascript.jscomp.CrossModuleMethodMotion:204	1.0 228.0 0.06608186004550898
com.google.javascript.jscomp.NodeUtil:2218	1.0 256.0 0.06237828615518053
com.google.javascript.jscomp.NodeUtil:2618	1.0 256.0 0.06237828615518053
com.google.javascript.jscomp.NodeUtil:2621	1.0 256.0 0.06237828615518053
com.google.javascript.jscomp.NodeUtil:2622	1.0 256.0 0.06237828615518053
com.google.javascript.jscomp.NodeUtil:2623	1.0 256.0 0.06237828615518053
com.google.javascript.jscomp.NodeUtil:2627	1.0 256.0 0.06237828615518053
com.google.javascript.jscomp.parsing.JsDocTokenStream:70	1.0 260.0 0.061898446059017294
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:260	1.0 275.0 0.0601929265428846
com.google.javascript.jscomp.parsing.IRFactory:1485	1.0 282.0 0.0594438298277764
com.google.javascript.jscomp.NodeUtil:2720	1.0 302.0 0.0574484989621426
com.google.javascript.jscomp.NodeUtil:2714	1.0 304.0 0.057259833431386825
com.google.javascript.jscomp.NodeUtil:2710	1.0 306.0 0.05707301455353496
com.google.javascript.jscomp.parsing.JsDocTokenStream:111	1.0 306.0 0.05707301455353496
com.google.javascript.rhino.IR:447	1.0 308.0 0.05688801239885743
com.google.javascript.jscomp.NodeUtil:2706	1.0 311.0 0.05661385170722978
com.google.javascript.jscomp.NodeUtil:1217	1.0 326.0 0.0553001263609331
com.google.javascript.rhino.JSTypeExpression:64	1.0 332.0 0.0547996624351191
com.google.javascript.rhino.JSTypeExpression:65	1.0 332.0 0.0547996624351191
com.google.javascript.rhino.JSTypeExpression:66	1.0 332.0 0.0547996624351191
com.google.javascript.rhino.JSTypeExpression:67	1.0 332.0 0.0547996624351191
com.google.javascript.jscomp.parsing.JsDocTokenStream:162	1.0 335.0 0.0545544725589981
com.google.javascript.jscomp.parsing.JsDocTokenStream:163	1.0 335.0 0.0545544725589981
com.google.javascript.jscomp.CompilerOptions:1134	1.0 429.0 0.04822428221704121
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard:45	1.0 527.0 0.04351941398892446
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard:58	1.0 527.0 0.04351941398892446
com.google.javascript.jscomp.CodeGenerator:463	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:466	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:469	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:470	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:473	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:474	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:477	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:478	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:479	1.0 563.0 0.04210759605332595
com.google.javascript.jscomp.CodeGenerator:528	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.CodeGenerator:534	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.CodeGenerator:536	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.CodeGenerator:537	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.CodeGenerator:538	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.CodeGenerator:539	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.CodeGenerator:812	1.0 581.0 0.041451333614483915
com.google.javascript.jscomp.AbstractCompiler:272	1.0 588.0 0.04120428217151646
com.google.javascript.jscomp.AbstractCompiler:273	1.0 588.0 0.04120428217151646
com.google.javascript.jscomp.AbstractCompiler:311	1.0 635.0 0.03965257928590721
com.google.javascript.rhino.Node:2339	1.0 654.0 0.03907323325822818
com.google.javascript.jscomp.AbstractCompiler:192	1.0 673.0 0.03851856078856727
com.google.javascript.jscomp.CompilerInput:320	1.0 688.0 0.03809696588797296
com.google.javascript.jscomp.NodeUtil:1916	1.0 697.0 0.03785055820522323
com.google.javascript.jscomp.parsing.JsDocTokenStream:232	1.0 768.0 0.036060922298730945
com.google.javascript.rhino.JSDocInfoBuilder:160	1.0 768.0 0.036060922298730945
com.google.javascript.jscomp.parsing.IRFactory:454	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.IRFactory:455	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.IRFactory:471	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.IRFactory:472	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:28	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:45	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:46	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:47	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:48	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:49	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:50	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:51	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:65	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:69	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:92	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:237	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:359	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocTokenStream:388	1.0 769.0 0.036037498507822355
com.google.javascript.rhino.JSDocInfoBuilder:94	1.0 769.0 0.036037498507822355
com.google.javascript.rhino.JSDocInfoBuilder:102	1.0 769.0 0.036037498507822355
com.google.javascript.rhino.JSDocInfoBuilder:111	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:25	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:27	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:28	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:29	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:30	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:31	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:32	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:33	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:34	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:35	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:36	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:37	1.0 769.0 0.036037498507822355
com.google.javascript.jscomp.parsing.JsDocToken:38	1.0 769.0 0.036037498507822355
