com.google.javascript.jscomp.CodeGenerator:1056	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:1057	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.NodeUtil:557	3.0 63.0 0.21320071635561044
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:144	3.0 63.0 0.21320071635561044
com.google.javascript.jscomp.NodeUtil:522	3.0 65.0 0.21004201260420147
com.google.javascript.jscomp.PeepholeFoldConstants:261	1.0 7.0 0.20412414523193154
com.google.javascript.jscomp.NodeUtil:1138	1.0 7.0 0.20412414523193154
com.google.javascript.jscomp.CodeGenerator:95	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:99	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:100	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:101	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:105	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:110	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:113	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:117	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.CodeGenerator:119	3.0 74.0 0.19738550848793068
com.google.javascript.jscomp.NodeUtil:475	3.0 75.0 0.19611613513818402
com.google.javascript.jscomp.PeepholeFoldConstants:146	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:250	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:253	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:255	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:257	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:264	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:265	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeFoldConstants:266	1.0 8.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:222	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:223	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:224	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:236	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:237	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:241	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:242	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:243	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:244	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:245	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:251	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:254	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:256	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.CodeConsumer:259	3.0 78.0 0.19245008972987526
com.google.javascript.jscomp.NodeUtil:120	3.0 87.0 0.18257418583505539
com.google.javascript.rhino.jstype.TernaryValue:56	3.0 88.0 0.18156825980064073
com.google.javascript.rhino.jstype.TernaryValue:60	3.0 88.0 0.18156825980064073
com.google.javascript.rhino.jstype.TernaryValue:95	3.0 88.0 0.18156825980064073
com.google.javascript.rhino.jstype.TernaryValue:131	3.0 88.0 0.18156825980064073
com.google.javascript.rhino.Node:254	3.0 95.0 0.17496355305594127
com.google.javascript.jscomp.CodeConsumer:229	3.0 95.0 0.17496355305594127
com.google.javascript.jscomp.NodeUtil:285	1.0 10.0 0.17407765595569785
com.google.javascript.jscomp.CodeGenerator:1139	3.0 97.0 0.1732050807568877
com.google.javascript.jscomp.parsing.IRFactory:1358	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:247	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.GoogleCodingConvention:31	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.GoogleCodingConvention:39	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.LoggerErrorManager:37	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.LoggerErrorManager:38	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.LoggerErrorManager:39	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.LoggerErrorManager:40	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.parsing.ParserRunner:108	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.parsing.ParserRunner:109	3.0 100.0 0.17066403719657228
com.google.javascript.jscomp.CodeConsumer:200	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:201	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:204	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:206	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:207	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:209	3.0 101.0 0.16984155512168936
