org.joda.time.chrono.BasicChronology:327	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicChronology:328	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicChronology:329	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicChronology:496	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField:65	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicYearDateTimeField:127	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicYearDateTimeField:128	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicYearDateTimeField:129	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicYearDateTimeField:131	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicYearDateTimeField:133	8.0 851.0 0.09650468813067616
org.joda.time.field.BaseDateTimeField:886	8.0 851.0 0.09650468813067616
org.joda.time.field.BaseDateTimeField:887	8.0 851.0 0.09650468813067616
org.joda.time.field.BaseDateTimeField:888	8.0 851.0 0.09650468813067616
org.joda.time.field.BaseDateTimeField:890	8.0 851.0 0.09650468813067616
org.joda.time.LocalDate:96	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:98	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:99	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:100	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:101	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:102	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:103	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:105	4.0 211.0 0.09644856443408242
org.joda.time.LocalDate:106	4.0 211.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:50	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:71	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:74	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:75	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:114	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:125	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:129	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:130	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:131	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:132	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:133	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:136	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:140	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:141	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:142	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:143	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:149	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:151	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:152	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:162	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:163	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:241	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:245	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:249	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:257	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:265	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:266	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:268	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:269	8.0 852.0 0.09644856443408242
org.joda.time.chrono.JulianChronology:271	8.0 852.0 0.09644856443408242
org.joda.time.field.SkipDateTimeField:80	8.0 852.0 0.09644856443408242
org.joda.time.field.SkipDateTimeField:81	8.0 852.0 0.09644856443408242
org.joda.time.field.SkipDateTimeField:84	8.0 852.0 0.09644856443408242
org.joda.time.chrono.BasicChronology:537	8.0 852.0 0.09644856443408242
org.joda.time.chrono.BasicChronology:539	8.0 852.0 0.09644856443408242
org.joda.time.chrono.BasicChronology:540	8.0 852.0 0.09644856443408242
org.joda.time.field.DelegatedDateTimeField:96	8.0 853.0 0.09639253854237598
org.joda.time.field.PreciseDurationDateTimeField:163	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicWeekyearDateTimeField:60	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:339	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:340	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:342	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:493	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:494	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:495	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:508	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:516	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:517	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:520	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:521	8.0 854.0 0.0963366101718176
org.joda.time.chrono.BasicChronology:524	8.0 854.0 0.0963366101718176
org.joda.time.chrono.GregorianChronology:209	8.0 855.0 0.09628077903981917
org.joda.time.chrono.BasicChronology:402	8.0 855.0 0.09628077903981917
org.joda.time.field.PreciseDateTimeField:82	8.0 855.0 0.09628077903981917
org.joda.time.field.PreciseDurationDateTimeField:95	8.0 857.0 0.09616940736686899
org.joda.time.field.PreciseDurationDateTimeField:96	8.0 857.0 0.09616940736686899
org.joda.time.chrono.GJDayOfWeekDateTimeField:103	8.0 857.0 0.09616940736686899
org.joda.time.chrono.GJDayOfWeekDateTimeField:112	8.0 857.0 0.09616940736686899
org.joda.time.chrono.BasicChronology:554	8.0 858.0 0.09611386626644254
org.joda.time.chrono.BasicChronology:185	8.0 859.0 0.09605842128561483
org.joda.time.DateTimeUtils:299	8.0 861.0 0.09594781857618334
org.joda.time.DateTimeUtils:302	8.0 861.0 0.09594781857618334
org.joda.time.chrono.BasicChronology:414	8.0 865.0 0.09572775448236508
org.joda.time.chrono.BasicChronology:417	8.0 865.0 0.09572775448236508
org.joda.time.chrono.BasicChronology:420	8.0 865.0 0.09572775448236508
