org.apache.commons.math3.stat.ranking.NaturalRanking:242	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:245	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:246	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:248	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:387	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:388	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:404	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:405	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:406	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:410	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:334	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:432	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:433	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:434	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:435	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:453	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:461	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:78	1.0 2.75 0.5163977794943222
org.apache.commons.math3.util.FastMath:158	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:827	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:829	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:837	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:847	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1109	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1132	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1202	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1299	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1302	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1306	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1420	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1422	1.0 3.0 0.5
org.apache.commons.math3.util.FastMath:1426	1.0 3.0 0.5
org.apache.commons.math3.stat.inference.MannWhitneyUTest:44	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaturalRanking:74	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaturalRanking:77	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaturalRanking:129	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaturalRanking:130	1.0 3.0 0.5
