org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:421	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:422	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:423	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:424	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:425	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:426	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:427	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:433	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:434	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:435	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:436	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:437	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:438	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:439	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:441	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:450	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:455	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:456	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:457	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:458	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:459	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:465	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:466	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:470	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:471	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:472	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:477	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:482	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:486	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:497	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:500	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:505	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:506	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:507	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:514	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:546	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:566	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:574	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:578	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:579	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:580	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:582	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:583	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:586	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:587	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:588	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:589	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:592	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:593	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:594	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:595	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:596	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:597	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:598	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:599	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:600	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:602	16.0 2.0 0.7126966450997984
