org.apache.commons.math.dfp.Dfp:458	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:459	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:464	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:466	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:467	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:470	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:471	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:479	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:484	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:489	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:490	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:492	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:493	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:494	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:495	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:502	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:503	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:504	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:507	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:508	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:509	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:515	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:516	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:520	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:524	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:526	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:528	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:531	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:595	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:602	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:633	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:640	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:647	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:667	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:668	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:670	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:671	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:672	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:679	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:680	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:682	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:683	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:684	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:695	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:696	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:698	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:700	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:701	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:702	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:705	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:706	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:709	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:711	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:712	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:714	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:715	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:717	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:720	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:721	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:726	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:727	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:730	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:732	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:738	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:739	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:740	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:743	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:754	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:763	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:769	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:779	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:788	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:794	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:808	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:818	1.0 62.0 0.1259881576697424
