org.apache.commons.lang3.math.NumberUtils:1373	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1374	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1375	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1376	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1377	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1379	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1380	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1382	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1384	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1386	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1387	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1389	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1391	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1393	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1395	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1396	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1401	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1403	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1408	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1410	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1413	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1416	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:874	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1022	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1049	0 1.0 0.0
org.apache.commons.lang3.StringUtils:217	0 4.0 0.0
org.apache.commons.lang3.StringUtils:258	0 2.0 0.0
org.apache.commons.lang3.StringUtils:265	0 1.0 0.0
